type;action;artifact
2,4;list;['user tags', 'story folders', 'teams', 'stories', 'processes', 'files', 'user access keys', 'teams', 'resources', 'credentials', 'aws users', 'aws groups', 'messages', 'resources', 'incident notes', 'projects', 'endpoint', 'endpoint info', 'hosted zones', 'resource', 'alerts', 'scripts', 'commands', 'agents', 'ticket', 'scan results', 'ad', 'process', 'vm', 'vm snapshot info', 'vm host', 'applications pool', 'team', 'account', 'azure ad users', 'user', 'vm', 'process', 'firewall rule', 'process', 'connection', 'security group', 'session', 'connection', 'process', 'policy', 'service account key', 'process', 'connection', 'firewall rule', 'session', 'process', 'connection', 'device', 'connection', 'block playbook', 'investigate playbook', 'workbook', 'asset playbook', 'identity playbook', 'response playbook', 'endpoint', 'process', 'detected hostnames', 'system commands', 'stories', 'ad', 'ad', 'ad', 'ad', 'ad', 'ad', 'ad', 'ad', 'process', 'vm', 'vm', 'vm', 'vm', 'vm snapshot info', 'applications pool', 'process', 'connection', 'service account key', 'workbook', 'workbook', 'workbook', 'investigate playbook', 'vm', 'vm', 'connection', 'connection', 'endpoint', 'process', 'process']
2,4;list ;['folders', 'folder', 'vm snapshot', 'folders', 'folders', 'folders', 'folders', 'folders', 'folders', 'folders', 'folders', 'folders', 'folder', 'folder', 'folder', 'folders', 'vm snapshot', 'folders']
2;load;['configured connectors', 'war room', 'war room owners', 'war room relationsships', 'user war owners', 'user email domains', 'user object', 'relationsship', 'applications', 'list', 'list', 'war room relationsships', 'war room owners', 'relationsship']
4;locate;['domain', 'IP', 'story', 'offices', 'file', 'domain', 'IP', 'file']
5;lock;['user account', 'device']
2;log;['error', 'no ioc found', 'data', 'data', 'data', 'data', 'data', 'status', 'hosts', 'false positives', 'connected id system user', 'status', 'status', 'connected id system user']
5;logoff;['user']
4;look;['attachments', 'results', 'windows user', 'autorun entries', 'processes', 'system processes', 'process', 'network sniffer traces', 'system file modification']
4;lookup;['user', 'IP address', 'ip', 'IP', 'IP', 'credentials', 'credentials', 'IP', 'events', 'source', 'username', 'IP information', 'domain information', 'whois', 'recipient addresses', 'domain information', 'IP', 'geo ip', 'file hashes', 'alert hash', 'geo ip', 'vulnerability ', 'vulnerability', 'failure message', 'whois', 'failure message', 'URLs', 'abuse Ips', 'hash', 'file', 'threat', 'DNS', 'results', 'domain', 'hash', 'IP', 'domain', 'URL', 'hash', 'hash', 'domain', 'IP', 'domain', 'URL', 'hash', 'domain', 'hash', 'IP', 'domain', 'reverse DNS', 'IP', 'reverse DNS', 'hash', 'URL', 'domain', 'IP', 'hashes', 'IP', 'hash', 'hash', 'hash', 'hash', 'URL', 'GeoIPs', 'domain', 'hash', 'IP', 'URL', 'host', 'host', 'vulnerabilities', 'hash', 'hash', 'hash', 'domain', 'vulnerability', 'hash', 'hash', 'phishing emails', 'phishing emails', 'asset', 'global artifact', 'ip threat information', 'certificate', 'ip', 'ip', 'domain', 'hash', 'ip', 'alert rule', 'alert data', 'url', 'url', 'value', 'value', 'counts', 'data store', 'value', 'cache', 'hashes', 'domain reputation', 'reputation', 'IP address', 'IP', 'IP', 'IP', 'whois', 'DNS', 'whois', 'hash', 'domain', 'reverse DNS', 'IP', 'hash', 'whois', 'domain', 'IP', 'domain', 'URL', 'hash', 'IP', 'domain', 'URL', 'hash', 'URL', 'domain', 'IP', 'whois', 'whois', 'IP', 'hash', 'GeoIPs', 'whois', 'host', 'host', 'vulnerabilities', 'global artifact', 'whois', 'ip', 'domain', 'ip', 'domain', 'domain', 'domain', 'domain', 'value', 'value', 'value', 'value']
1;loop;['assignees', 'IPs', 'vulnerabilities', 'vulnerabilities', 'string array', 'URLs', 'IP', 'SHA256 hash', 'hash blacklist', 'MD5 hash', 'blacklist indicator', 'hash', 'processes', 'users', 'IP addresses', 'blocked host', 'hosts', 'blocked hosts', 'blocked indicator', 'agents', 'IP addresses', 'block status', 'host block status', 'vulnerabilities', 'IDs', 'remediations', 'deleted ids', 'assets', 'deleted assets', 'users', 'user confidence score', 'CVE', 'threat intelligence', 'domain', 'IP addresses', 'domain', 'URLs', 'XDR results', 'hash', 'Ips', 'domains', 'hash', 'processes', 'IP address', ' URLs', 'hash report', 'IP address', 'hash', 'processes', 'URL', 'hash', 'MD5 hash', 'URL scan', 'deleted emails', 'emails', 'emails', 'deleted emails', 'logs', 'Slack', 'join', 'finding', 'userss', 'user', 'IP', 'IP address', 'exploits', 'assets', 'remediations', 'vulnerabilities', 'vulnerability ids', 'count', 'asset information', 'vulnerability ids', 'watched domains', 'site', 'analysis', 'attached file', 'emails', 'email attachment', 'files', 'domain lookup', 'vulnerabilities', 'tasks', 'report', 'issues', 'user', 'tickets', 'issues', 'headers', 'files', 'headers', 'emls', 'files', 'phishing emails', 'attached email', 'attachment', 'URLs', 'assets', 'quarantines', 'quarantine', 'scan status', 'host names', 'detections', 'vulnerability details', 'domains', 'IP', 'users', 'URL', 'objects', 'address object', 'users', 'alert details', 'vulnerability id ', 'vulnerability id ', 'scanned asset', 'while condition', 'ip', 'results', 'assignees', 'vulnerabilities', 'vulnerabilities', 'vulnerabilities', 'vulnerabilities', 'SHA256 hash', 'blacklist indicator', 'blacklist indicator', 'users', 'IP addresses', 'blocked host', 'hosts', 'blocked hosts', 'IP addresses', 'block status', 'host block status', 'IDs', 'deleted assets', 'deleted assets', 'CVE', 'threat intelligence', 'hash', 'processes', 'IP addresses', 'domain', 'URLs', 'hash', 'processes', 'URLs', 'hash', 'URLs', 'Ips', 'URLs', 'Ips', 'hash', 'IP addresses', 'domain', 'URLs', 'hash', 'processes', 'IP addresses', 'domain', 'URLs', 'hash', 'processes', 'domains', 'processes', 'IP address', ' URLs', 'IP address', 'URL', 'URL scan', 'emails', 'domain', 'hash', 'processes', 'URLs', 'exploits', 'assets', 'remediations', 'vulnerabilities', 'vulnerabilities', 'vulnerabilities', 'count', 'asset information', 'processes', 'hash', 'watched domains', 'URLs', 'URLs', 'analysis', 'attached file', 'URLs', 'emails', 'users', 'user', 'headers', 'emls', 'files', 'emls', 'files', 'headers', 'files', 'headers', 'emls', 'files', 'emls', 'files', 'files', 'headers', 'emls', 'files', 'headers', 'files', 'quarantine', 'quarantine', 'quarantine', 'remediations', 'remediations', 'scan status', 'vulnerability details', 'user', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'results', 'results', 'results']
2;lower;['node', 'field']
5;maintain;['service']
1;make;['bucket private', 'bucker public', 'fail', 'individual subject', 'individual sender', 'recipient sender', 'recipient sender', 'sender', 'recipient sender', 'recipient sender', 'recipient sender', 'recipient sender', 'individual internal recipients', 'NexposeID object', 'string', 'verdict decision', 'high risk verdict', 'low risk verdict', 'delete decision', 'filepath decision', 'quarantine decision', 'file search decision', 'result decision', 'risk rule decision', 'indicator playbook decision', 'decision', 'workbook decision', 'note decision', 'note decision', 'decision', 'workbook decision', 'workbook decision', 'workbook decision', 'merge any decision', 'decision', 'decision', 'user decision', 'host decision', 'playbook decision', 'indicator decision', 'decision', 'user response decision', 'hostname decision', 'user decision', 'status decision', 'changes', 'changes', 'fail', 'NexposeID object', 'string', 'delete decision', 'filepath decision', 'quarantine decision', 'file search decision', 'risk rule decision', 'result decision', 'risk rule decision', 'note decision', 'note decision', 'workbook decision', 'result decision', 'user decision', 'decision', 'playbook decision', 'decision', 'decision', 'user decision']
2;map;['lun']
2;maps;['notes']
3;mark;['TBD', 'blocked status', 'unblocked status', 'isolated status', 'TBD status', 'email', 'expired', 'escalated', 'email', 'email', 'case', 'containment report', 'update tag', 'close tag', 'preprocess tag', 'close note', 'artifact evidence', 'evident artifact', 'incident', 'IP', 'domain', 'system monitoring', 'coa review', 'false positive', 'false positive', 'sharing ioc', 'sharing ids rule', 'sharing coa', 'TBD', 'TBD', 'blocked status', 'TBD', 'unblocked status', 'blocked status', 'TBD', 'unblocked status', 'TBD', 'TBD', 'blocked status', 'unblocked status', 'TBD', 'TBD', 'blocked status', 'unblocked status', 'TBD', 'blocked status', 'blocked status', 'TBD', 'TBD', 'unblocked status', 'TBD', 'blocked status', 'TBD', 'unblocked status', 'system monitoring', 'coa review', 'system monitoring', 'coa review']
2;match;['IP', 'team', 'folder', 'story id', 'user', 'instance', 'pattern', 'regex', 'corpus', 'pattern', 'pattern', 'array', 'string', 'domain', 'extraction step', 'ids', 'time', 'IP', 'country count', 'search base', 'IP address', 'basename', 'base', 'searchbase', 'malicious', 'headers', 'test', 'pdf file', 'malicious', 'legitimate', 'emergency response', 'legitimate', 'subject', 'risk score', 'job id', 'IP', 'user', 'instance', 'pattern', 'domain', 'extraction step', 'ids', 'IP address', 'search base', 'subject', 'risk score', 'IP', 'searchbase', 'search base']
2;merge;['list', 'list', 'list', 'url hash list', 'ip list', 'verdict', 'result decision', 'case information', 'case format', 'data', 'selected data', 'format', 'individual format', 'note', 'api result', 'result', 'actor result', 'data', 'response', 'branches', 'hashes', 'data', 'data', 'data', 'data', 'data', 'signature', 'data', 'type', 'response', 'attributes', 'comments', 'document entitiy', 'verdict', 'result', 'http content', 'list', 'list', 'list', 'list', 'response', 'response', 'response', 'response', 'response', 'response', 'response', 'response', 'response', 'response', 'response', 'branches', 'hashes', 'hashes', 'data', 'data', 'data', 'data', 'data', 'type', 'data', 'data', 'result', 'data', 'data', 'data']
5;migrate;['service', 'system', 'operations']
5;mitigate;['assets', 'actions', 'system', 'issue']
5;modify;['security group rule', 'user', 'data', 'message', 'datetime', 'block list', 'network access', 'data', 'datetime', 'datetime']
4;monitor;['disk space', 'internal system', 'account', 'removable media alert', 'rogue system alert', 'internal system', 'account', 'disk space', 'disk space']
5;mute;['conversation', 'destination port', 'destination port', 'destination subnet', 'source subnet']
2;normalize;['date', 'data', 'field', 'event', 'reporter email headers', 'date', 'event']
3;notify;['failure', 'missing credentials', 'requester', 'analyst', 'confirmation', 'assets', 'networks', 'message', 'message', 'warnings', 'alert', 'isolation status', 'isolation status', 'isolation status', 'isolation status', 'auto approval', 'auto approval', 'actions', 'SecOps', 'command status', 'log status', 'user', 'infected endpoints', 'IR team', 'public relations teams', 'affected user', 'management chain', 'internal PR team', 'IT', 'security vendor', 'reported email', 'ticket', 'ticket', 'urgent ticket', 'ticket', 'ticket', 'review ticket', 'ticket', 'rule review', 'ticket', 'ticket', 'review ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'pw reset', 'pw reset', 'reset', 'pw reset', 'pw reset', 'reset', 'message', 'message', 'recovery', 'reinstall request', 'restoration', 'failed restoration', 'failed reinstall', 'review', 'failed restoration', 'restart', 'service status', 'analyst', 'confirmation', 'assets', 'infected endpoints', 'ticket', 'ticket', 'review ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'pw reset', 'pw reset', 'ticket', 'ticket', 'ticket', 'reinstall request', 'restoration', 'ticket', 'ticket']
4;obtain;['ids', 'resources']
2;offense;['installation offenses']
2;omit;['quotes']
5;onboard;['asset']
3;open;['live response session', 'ticket', 'ticket', 'incident', 'case', 'case', 'case', 'case', 'case', 'case', 'case', 'case']
1;orchestrate;['response', 'manual investigation']
2;order;['platform']
2;output;['result', 'failures', 'new scans', 'detections', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'detections', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'detections', 'result', 'detections', 'result', 'result', 'detections', 'result', 'result', 'result', 'result', 'result', 'detections', 'result', 'result', 'result', 'detections', 'result', 'result']
5;pack;['software']
1;parallelize;['workflow', 'workflow', 'workflow', 'workflow']
2;parse;['json', 'response', 'URL IoCs', 'alerts', 'email file', 'email files', 'email headers', 'email headers', 'word document', 'threat alert', 'traffic alert', 'alert', 'details', 'tag name', 'event name', 'events array', 'event list', 'hash result', 'hash result', 'usable scans', 'batch url', 'download results', 'error', 'integration response', 'url scan results', 'threatminer whois results', 'search results', 'case deletion results', 'proofpoint data', 'incident parameters', 'arguments', 'headers', 'hosts', 'lines', 'domains', 'ioc', 'ip', 'ioc', 'ioc', 'ioc', 'ioc', 'risk result', 'hashes', 'report data', 'stix', 'http header', 'html text', 'datastore response', 'task id', 'EML', 'RSS ', 'rule info', 'CSV', 'job status', 'portal data', 'errors', 'JSON response', 'HTTP response body', 'stix', 'ioc', 'response', 'response', 'response', 'email files', 'arguments', 'arguments', 'arguments', 'ioc', 'ioc']
2;pass;['cybersecurity training', 'expiration days left count', 'data', 'expiration days left count', 'expiration days left count']
5;patch;['system']
1;pause;['Ack SLA', 'resonse SLA', 'minutes', 'testing', 'workflow', 'workflow', 'Ack SLA', 'resonse SLA', 'Ack SLA', 'resonse SLA', 'Ack SLA', 'resonse SLA', 'minutes', 'workflow']
4,1;perfom;['vm snapshot', 'vm snapshot', 'vm snapshot', 'vm snapshot', 'vm snapshot', 'vm snapshot']
4,1;perform;['playbook', 'port scan', 'sql query', 'advanced communication', 'calculation', 'wake on lan', 'curl', 'custom function', 'custom function', 'task', 'sha256 union', 'md5 sha1 union', 'http attempt', 'if condition', 'if condition', 'malware analysis', 'coa alert review', 'ics asset mitigation', 'account alert review', 'system alert review', 'cve patch test', 'incident response procedure', 'enrichment scan', 'stix workflow', 'domain regret workflow', 'emails regret workflow', 'filehash regret workflow', 'enrichment', 'regret determination checks', 'ips regret workflow', 'ip regret workflow', 'regret workflow', 'sql query', 'sql query', 'sql query', 'advanced communication', 'calculation', 'calculation', 'wake on lan', 'custom function', 'custom function', 'custom function', 'custom function', 'task', 'custom function', 'custom function', 'custom function', 'task', 'custom function', 'custom function', 'custom function', 'custom function', 'custom function', 'custom function', 'custom function', 'custom function', 'custom function', 'malware analysis', 'coa alert review', 'coa alert review', 'stix workflow', 'stix workflow', 'stix workflow', 'domain regret workflow', 'filehash regret workflow', 'emails regret workflow', 'stix workflow', 'stix workflow', 'stix workflow', 'stix workflow']
2;pick;['integration errors']
2;pin;['data', 'url', 'data', 'data', 'data', 'data']
4,2;ping;['exfiltration', 'service', 'server', 'service']
2;poll;['source']
3;poost;['usage', 'usage', 'usage', 'usage', 'usage', 'usage']
2;populate;['form']
3;post;['incident activity', 'incident activity', 'slack message', 'hire information', 'message', 'backup notification', 'archive notification', 'archive notification', 'archive notification', 'message', 'notification', 'update', 'resolution update', 'message', 'message', 'message', 'threat message', 'threat message', 'vulnerability alert', 'message', 'message', 'posts failure', 'malicious url message', 'no valid indicators', 'IP results', 'no malicious URL', 'command received', 'failure', 'help', 'success', 'request received', 'unblacklist failure', 'blacklist channel', 'status', 'HTML failure message', 'usage', 'unblacklist failure', 'request received', 'help', 'blacklist failure', 'blacklist failure', 'success message', 'status', 'blacklist status message', 'message', 'indicator status message', 'indicator message', 'status message', 'workflow status message', 'microsoft command', 'indicator status message', 'status message', 'workflow status message', 'status message', 'workflow status', 'usage message', 'workflow status', 'notification', 'parsing status message', 'inactive assets', 'inactive assets', 'action', 'user status message', 'status message', 'enriched CVE report', 'enriched cve report', 'CVE status', 'status', ' scan report status', 'scan report status', 'lookup status', 'lookup status message', 'submission status', 'URL scan report', 'URL scan status', 'URL scan report', 'URL scan status', 'URL scan status', 'argument status', 'argument status', 'host details', 'host details', 'results', 'results', 'results', 'result', 'message', 'fix', 'vulnerabilities status', 'vulnerability status message', 'vulnerability status message', 'workflow status', 'vulnerability results', 'status message', 'status message', 'site result', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'message', 'message', 'block message', 'ip', 'hash', 'negative risk event', 'data', 'stix bundle', 'taxii server', 'message', 'message', 'notification', 'update', 'resolution update', 'notification', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'success', 'help', 'message', 'unblacklist failure', 'help', 'success', 'status', 'usage', 'unblacklist failure', 'request received', 'help', 'message', 'blacklist failure', 'usage', 'request received', 'help', 'blacklist failure', 'request received', 'help', 'request received', 'blacklist failure', 'unblacklist failure', 'usage', 'unblacklist failure', 'request received', 'message', 'blacklist failure', 'command received', 'posts failure', 'status message', 'command received', 'workflow status message', 'posts failure', 'indicator status message', 'status message', 'microsoft command', 'status message', 'workflow status message', 'message', 'posts failure', 'request received', 'status message', 'success', 'success message', 'microsoft command', 'microsoft command', 'command received', 'microsoft command', 'workflow status message', 'command received', 'workflow status message', 'status message', 'message', 'results', 'results', 'results', 'results', 'workflow status', 'workflow status', 'workflow status message', 'workflow status', 'request received', 'workflow status', 'request received', 'usage', 'request received', 'request received', 'quarantine state', 'usage', 'quarantine state', 'quarantine state', 'request received', 'quarantine state', 'workflow status', 'microsoft command', 'command received', 'message']
5;power on;['vm']
4;predict;['phishing type', 'phishing URL', 'phishing type']
2;prepare;['related records', 'comment record payload', 'download', 'file upload', 'case search', 'baseline', 'additional data', 'data', 'labels', 'output', 'alert', 'alert output', 'alert output', 'output', 'alert output', 'output', 'additional data', 'additional data']
2;preview;['pdf file']
2;print;['final output', 'URL', 'scan results', 'request status', 'scan status', 'report status', 'status', 'report submission', 'submission status', 'urlscan report', 'no emails', 'GeoIP report', 'no IP found', 'query error', 'nothing found', 'GeoIP details', 'query status', 'URL status', 'error', 'URL']
1;privat;['iss ip', 'iss ip']
2;process;['email', 'XLS script', 'dump', 'remediation', 'counter', 'output', 'note', 'response', 'response', 'ioc', 'ioc', 'av endpoint alert', 'fw alert', 'ids alert', 'cve', 'account alert', 'ip ioc', 'email', 'remediation', 'remediation', 'remediation', 'counter', 'response', 'ioc', 'ioc']
4;profile;['domain']
3;promote;['case link', 'case link']
1;prompt;['deletion']
4;proofpoint;['sender address', 'data']
1;provide;['end user remediation guidance']
3;publish;['output body', 'groups', 'stix object', 'stix', 'stix', 'stix bundle']
4;pull;['ioc', 'email sender', 'internal ip', 'content', 'taxii server', 'audit log', 'taxii server', 'internal ip']
5;purge;['email', 'message', 'email', 'email']
5;push;['consolidated domain list', 'consolidated ip list']
5;put;['run command']
5;quarantine;[' endpoint', 'asset', 'host', 'DoS IP', 'host', 'host', 'endpoint', 'artifact', 'quarantine message', 'endpoint', 'endpoint', 'host', 'device', 'device', 'device', 'file', 'file', 'asset', 'affected system', 'asset', 'DoS IP', 'host', 'host', 'asset', 'asset', 'endpoint', 'endpoint', 'host', 'device', 'device', 'device', 'device', 'device', 'device']
4;query;['speedbump', 'IP detection hits', 'IP hits', 'file', 'process', 'dns request', 'DNS', 'DNS', 'incident', 'ticket', 'tickets', 'ticket', 'table', 'domain information', 'username', 'SQL', 'hash reputation', 'hash', 'results', 'analysis hash', 'netskope logs', 'mimecast logs', 'user information', 'group membership', 'LDAP', 'AD', 'AD', 'LDAP', 'reputation', 'gnqls', 'certificate', 'risk rule', 'identity', 'asset', 'messages', 'HIBP', 'active ip connection', 'domain url connection', 'domain url connection', 'domain url connection', 'file', 'email', 'log', 'enrichment data', 'account data', 'ip', 'ip', 'domain url', 'domain url', 'file', 'file', 'blocked email sender', 'group membership', 'id user name', 'user info', 'cve applicable status', 'software', 'cve addressed status', 'cve', 'patch', 'tip record', 'account type', 'asset', 'local enrichment ip ioc information', 'block list', 'visited domain', 'blocklist url', 'siem', 'reputation check', 'alert', 'splunk', 'file hash', 'ioc', 'local data source', 'remote ip db', 'destination ip', 'source ip', 'fw ip block list', 'database attribute', 'information management database', 'database ioc', 'database', 'reputation', 'incident', 'domain information', 'domain information', 'username', 'domain information', 'domain information', 'username', 'LDAP', 'AD', 'gnqls', 'siem', 'database attribute', 'database attribute', 'database attribute', 'information management database']
1;raise;['error', 'case search failures', 'deletion failure', 'incident', 'error', 'error', 'error', 'error']
2;read;['file contents', 'sheet', 'emails', 'scan history list', 'xls', 'file', 'continuous file', 'emails', 'sheet', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'file', 'file', 'file', 'file', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'continuous file']
5;reboot;['system']
5;rebuild;['server', 'server']
2;recalculate;['Ack SLA', 'response SLA', 'Ack SLA', 'response SLA']
1;receive;['events', 'commands', 'file', 'data', 'url', 'sts', 'alerts', 'commands', 'form data', 'email details', 'form', 'sns', 'canary tools webhook', 'request', 'alert', 'command', 'alert', 'event', 'form data', 'ip address', 'events', 'message', 'security pack request', 'urls', 'user information', 'webhook', 'unsubscribe email', 'threat traffic', 'alert', 'url', 'email ioc', 'virus alert', 'requests', 'request', 'commands', 'command', 'post', 'response type review', 'alert', 'response type review', 'coa alert review', 'process alert', 'system', 'account alert', 'av endpoint alert', 'siem ics network alert', 'threat intel', 'heartbeat failure message', 'removable media alert', 'unrecognized system alert', 'stix message', 'threat intel', 'cve', 'threat intel', 'coa alert', 'alert', 'domain threat feed', 'domain ioc', 'url container', 'ticket', 'email ioc', 'alert', 'file hash alert', 'file ioc', 'virustotal report', 'file hash container', 'threat ip', 'ip ioc', 'ip container', 'analyst vetting notification', 'analyst validation notification', 'false positive notification', 'revoke ioc notification', 'threat feed alert', 'stix object', 'domain ioc', 'sts', 'form', 'form', 'sts', 'sns', 'command', 'form', 'email details', 'sts', 'alert', 'alert', 'requests', 'request', 'requests', 'request', 'requests', 'request', 'post', 'post', 'coa alert review', 'coa alert review', 'response type review', 'threat ip']
4;record;['conversation', 'destination port', 'destination subnet', 'source subnet', 'source port']
1;recover;['incident activity', 'incident activity', 'incident activity']
5;reduce;['outbound']
2;reference;['version number']
2;reformat;['input', 'input']
2;register;['tag']
5;reimage;['asset']
5;reinstall;['service', 'service', 'service']
5;reinstate;['disabled user accounts']
1;reject;['exception']
5;remediate;['malware ', 'rootkit', 'event log finding', 'incident', 'incident', 'system', 'incident', 'incident', 'incident', 'incident']
5;remove;['indicators', 'attachment', 'iam console password', 'case status', 'case status', 'indicator tag', 'blocklist', 'urls', 'ip', 'failure', 'selected subject modifications', 'mailto urls', 'attachments', 'attachments', 'host', 'host', 'host', 'host status message', 'host', 'address object', 'host', 'host', 'host', 'html', 'group', 'domains', 'duplicates', 'address object', 'URL blacklist', 'instance', 'data capture file', 'task', 'empty array', 'empty array', 'empty array', 'bracket', 'brackets', 'char', 'duplicate URLs', 'threatconnect tag', 'containment measure', 'email', 'review tag', 'review tag', 'whitelist review tag', 'external IP tag', 'file', 'false positive', 'quarantine', 'host', 'host', 'host', 'host', 'host', 'host', 'address object', 'host status message', 'host', 'html', 'domains', 'duplicates', 'duplicates', 'duplicates', 'duplicates', 'duplicates', 'review tag', 'external IP tag', 'external IP tag']
2;rename;['count field', 'fields', 'file']
2;render;['verdict note', 'html', 'html', 'html', 'html']
3;reopen;['issue']
2;repeat;['status', 'status', 'malicious url list', 'parsed malicious url list', 'result', 'action status', 'tool status', 'return message', 'alert', 'user', 'case', 'status', 'status', 'status', 'adaptive card response', 'block status', 'alert', 'status', 'status', 'status', 'status', 'status', 'malicious url list', 'parsed malicious url list', 'return message']
2;replace;['data', 'server list', 'data', 'string', 'abstract', 'name', 'hash', 'comma', 'spaces', 'temporary seperator', 'HKU', 'HKLM', 'HKCC', 'HKCR', 'HKCU', 'HKPD', 'data', 'string']
3;reply;['email', 'email', 'acknowledgement', 'results', 'user']
3;report;['malware', 'removal status', 'checkpoint status', 'checkpoint status', 'host status', 'check point status', 'checkpoint status', 'assets', 'asset details', 'malformed command', 'vulnerability info', 'search status', 'search status', 'vulnerability', 'search status', 'malformed command', 'asset details', 'self approval', 'items', 'false positive', 'observation', 'malware sample', 'CISO', 'malware sample', 'removal status', 'checkpoint status', 'checkpoint status', 'false positive']
4;request;['payload', 'access token', 'ipdate', 'create', 'file name', 'file', 'website', 'RSS', 'data', 'network log analysis', 'system rebuild', 'website', 'website']
4;rerun;['simuation']
5;reset;['Ack SLA', 'Ack SLA', 'response SLA ', 'platform reset resp sla', 'priority weight', 'response SLA', 'user password', 'user password', 'pw', 'feed status', 'blocklist', 'blocklist', 'blocklist', 'blocklist', 'password', 'password', 'user account', 'service account', 'user password', 'priority weight', 'Ack SLA', 'response SLA ', 'Ack SLA', 'user password', 'user password', 'user password', 'user password', 'pw', 'pw', 'pw', 'feed status', 'blocklist', 'user password']
5;resize;['volume']
1;resolve;['alert', 'object', 'snow incident', 'ioc block allow confict', 'issue', 'issue', 'issue']
3;respond;['host creation status', 'host status', 'status', 'ticket', 'ticket', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'email ticket', 'host creation status']
5;restart;['service']
5;restore;['corrupted files', 'endpoint connections', 'file', 'standard network access', 'service', 'system']
1;resume;['Ack SLA', 'response SLA', 'playbook', 'scan', 'Ack SLA', 'response SLA', 'scan']
4,3;retrieve;['existing records', 'new incidents', 'incidents', 'report', 'domain report', 'groups', 'report', 'vulnerability sync tasks', 'vulnerability sync batch', 'feed status', 'keywords', 'snort rule zip', 'yara rules', 'attachment', 'file', 'email', 'scan results', 'packet capture', 'service risk profile', 'domain url', 'case file hash', 'case ip', 'email information', 'case information', 'case information', 'source content', 'report', 'report', 'report', 'report', 'file', 'domain url', 'domain url', 'case ip']
1;return;['related records', 'results', 'access token', 'results', 'data', 'value', 'results', 'results', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value']
4;reverse;['dns lookup', 'dns lookup']
5;revert;['vm', 'vm']
4;review;['TI indicators', 'admin permission', 'ACL scanner report', 'AD event log', 'invesigation', 'incident details', 'antivirus log', 'file reputation', 'results', 'malfind results', 'data', 'USB drive history', 'shellbag data', 'incident', 'indicators', 'ticket', 'ticket', 'ticket', 'case', 'stix object', 'rules', 'analytics', 'ticket', 'ticket', 'sighting', 'ids rule', 'proposed coa', 'ticket', 'ticket', 'risk patch policy', 'blocked file', 'ticket', 'ticket', 'ticket', 'case', 'ticket', 'ticket', 'remediation', 'ioc', 'invesigation', 'incident', 'indicators', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ioc']
5;revoke;['role session', 'security group rules', 'user session', 'authentication keys', 'VPN credentials', 'security group rules', 'user session']
