action,artifact
send ,"['asset status message', 'asset status message']"
serve,['blocklist']
set,"['playbook result', 'incident lead teams', 'Ack SLA missed', 'response SLA missed', 'no action needed', 'date', 'Ack SLA status', 'Ack SLA status', 'response SLA status', 'response SLA status', 'Ack SLA', 'response SLA', 'Ack SLA', 'response SLA', 'recepient', 'receipients', 'no action', 'approval status', 'approval', 'pages', 'record type', 'no action', 'phase date', 'target asset', 'phase', 'containment phase', 'recovery phase', 'identification phase', 'confirmation phase', 'delivery vector', 'aftermath phase', 'good', 'malicious', 'no reputation', 'suspicious', 'no reputation', 'no repuation', 'reputation', 'reputation', 'expiry date', 'date', 'date', 'SLA violated flag', 'SLA violation percentage', 'no SLA fetched', 'SLA violation percentage', 'sla details', 'failure list', 'email body', 'email body', 'no operations', 'export status', 'email parameter', 'status', 'severity status', 'counter', 'file path', 'description', 'recent login', 'security group', 'priority', 'file properties', 'file properties', 'team', 'story array status', 'stories array', 'credential status', 'versioning policy', 'encryption policy', 'status', 'blocklist id', 'public access block policy', 'counter', 'page number', 'filter date', 'offset', 'timer', 'cve', 'email address', 'email address', 'ip', 'account', 'hash', 'ip address', 'case status', 'addresses', 'case fields', 'url', 'filter conditions', 'time buckets', 'mshtas technique', 'remote connection', 'host status', 'host', 'malicious variable', 'malicious indicator', 'malicious indicator', 'memory', 'property', 'cell value', 'service logon credentials', 'service start up type', 'cache value', 'cache value', 'severity', 'sensitivity', 'status', 'pw', 'owner', 'status', 'severity', 'error submission result', 'error instantiating malware sample', 'enclosure variable', 'keywords', 'variable', 'variable', 'report data', 'attribute values', 'no actor', 'new actor', 'associate actor', 'business rules', 'configuration', 'x-rftokens', 'status ', 'status ', 'status ', 'query status', 'variables', 'hash', 'github api url variable', 'last update', 'signature id', 'last update', 'address variables', 'host variables', 'email address variables', 'url variables', 'cidr variables', 'file variables', 'sha256', 'sha1', 'md5', 'variable', 'variable', 'yara rule directory', 'threat rating', 'confidence', 'jira base url', 'jira source url', 'comments', 'document creation status', 'status', 'attachment', 'boolean', 'malicious verdict', 'benign verdict', 'report file name', 'downloaded files', 'result count', 'email body', 'user response', 'URL', 'whitelist', 'run timestamp', 'user response', 'report', 'parameters', 'status message', 'status message', 'message', 'starting value', 'results', 'manager email', 'compromised users', 'severity status', 'severity status', 'severity status', 'severity status', 'endpoints', 'endpoint groups', 'user groups', 'user', 'incident asset field', 'severity status', 'severity status', 'severity status', 'severity status', 'severity status', 'header severity check', 'context', 'severity status', 'severity status', 'severity status', 'severity status', 'severity status', 'DBotScore', 'command line verdict', 'decoded commandline', 'command line verdict', 'command line verdict', 'command line verdict', 'command line verdict', 'command line verdict', 'commandline', 'blocked indicators', 'quarantined file', 'disabled user', 'file', 'file path', 'isolated incident field', 'host names', 'user account', 'detected hostnames', 'detected Ips', 'endpoint details', 'similar incidents', 'detected users', 'suspected verdict', 'suspected verdict', 'suspected verdict', 'suspected verdict', 'suspected verdict', 'process', 'file', 'users', 'file', 'extracted URLs', 'file verdict', 'file verdict', 'file verdict', 'file verdict', 'file verdict', 'endpoint id', 'endpoint hostname', 'endpoint ip', 'output', 'incident severity', 'incident severity', 'incident severity', 'incident', 'reported email', 'headers map', 'file entry id', 'reported email', 'pcl score', 'severity check header', 'SCL exchange score', 'SCL forefront score', 'SCL score', 'severity check header', 'pcl severity', 'bcl severity', 'bcl score', 'mailboxes', 'results', 'report status', 'indicators', 'times', 'domains', 'results', 'times', 'domains', 'domain', 'domain', 'domain', 'domains', 'domains', 'values', 'values', 'values', 'the', 'context', 'ticket priority', 'threat feed ingest checking interval', 'regret status', 'score', 'regret status', 'score', 'score', 'score', 'regret status', 'score', 'score', 'score', 'revoke flag', 'revoke status', 'date', 'phase date', 'Ack SLA missed', 'response SLA missed', 'no action needed', 'date', 'date', 'Ack SLA status', 'Ack SLA status', 'response SLA status', 'response SLA status', 'Ack SLA', 'response SLA', 'Ack SLA', 'response SLA', 'malicious', 'no reputation', 'suspicious', 'good', 'malicious', 'no reputation', 'good', 'suspicious', 'malicious', 'no reputation', 'good', 'suspicious', 'good', 'no reputation', 'malicious', 'suspicious', 'malicious', 'no reputation', 'good', 'suspicious', 'malicious', 'good', 'no reputation', 'suspicious', 'good', 'suspicious', 'malicious', 'no reputation', 'suspicious', 'no reputation', 'good', 'malicious', 'suspicious', 'no reputation', 'good', 'malicious', 'no repuation', 'good', 'no reputation', 'suspicious', 'no reputation', 'malicious', 'reputation', 'reputation', 'suspicious', 'good', 'malicious', 'good', 'no reputation', 'suspicious', 'malicious', 'email body', 'SLA violation percentage', 'sla details', 'SLA violated flag', 'SLA violation percentage', 'email body', 'description', 'recent login', 'priority', 'priority', 'team', 'stories array', 'filter date', 'filter date', 'filter date', 'counter', 'offset', 'hash', 'host status', 'malicious indicator', 'memory', 'memory', 'memory', 'memory', 'memory', 'memory', 'memory', 'memory', 'cell value', 'cell value', 'cell value', 'cell value', 'memory', 'service logon credentials', 'service start up type', 'cell value', 'cell value', 'memory', 'cell value', 'memory', 'memory', 'service start up type', 'memory', 'memory', 'memory', 'memory', 'memory', 'memory', 'memory', 'memory', 'memory', 'cache value', 'cache value', 'cache value', 'cache value', 'severity', 'sensitivity', 'severity', 'severity', 'severity', 'severity', 'severity', 'severity', 'severity', 'severity', 'status', 'severity', 'severity', 'status', 'severity', 'status', 'severity', 'status', 'status', 'severity', 'severity', 'severity', 'severity', 'severity', 'severity', 'severity', 'status', 'severity', 'status', 'status', 'status', 'severity', 'status', 'severity', 'severity', 'status', 'severity', 'status', 'severity', 'status', 'status', 'severity', 'variable', 'status ', 'query status', 'last update', 'variables', 'hash', 'variables', 'hash', 'variable', 'address variables', 'variable', 'variable', 'variable', 'variable', 'variable', 'yara rule directory', 'variable', 'variable', 'confidence', 'confidence', 'attachment', 'result count', 'variable', 'variable', 'variable', 'results', 'user groups', 'severity status', 'severity status', 'severity status', 'severity status', 'context', 'severity status', 'severity status', 'severity status', 'severity status', 'severity status', 'severity status', 'quarantined file', 'file', 'file path', 'isolated incident field', 'detected hostnames', 'similar incidents', 'detected users', 'process', 'file', 'users', 'extracted URLs', 'file verdict', 'file verdict', 'file verdict', 'file verdict', 'output', 'context', 'context', 'incident severity', 'incident severity', 'incident severity', 'reported email', 'reported email', 'SCL forefront score', 'pcl severity', 'mailboxes', 'report status', 'indicators', 'indicators', 'domain', 'values', 'values', 'values', 'values', 'values', 'values', 'values', 'the', 'score', 'regret status', 'regret status', 'score', 'score', 'score', 'regret status', 'score', 'regret status', 'score', 'score', 'regret status', 'regret status', 'score', 'regret status', 'score', 'score', 'regret status', 'regret status', 'score', 'score', 'score', 'score', 'score', 'revoke flag']"
setup,"['CB watchlist', 'workflow']"
share,"['report details', 'report details', 'IoC', 'data', 'event information', 'report details', 'IoC', 'event information', 'event information']"
show,"['rule', 'networks', 'ip addresses', 'artificat', 'alert details', 'present', 'windows', 'hostname results', 'device', 'loop data', 'loop status', 'data', 'risk', 'exception', 'request', 'readme', 'URL results', 'IP results', 'usage', 'result', 'failure', 'hash result', 'HTML', 'failure', 'SHA256 hash status', 'SHA256 hash', 'artifact status', 'hash', 'blacklist status', 'indicator', 'alert summary', 'incident summary', 'findings', 'block hash summary', 'processed URLs', 'domain block', 'domain block', 'domain block', 'domain block status', 'account block status', 'alert', 'account block', 'host', 'block list status', 'block list', 'IP blocked', 'unblocked Ips', 'address object', 'host', 'artifact', 'host', 'host', 'artifact', 'artifact', 'artifact', 'block status', 'host', 'failure', 'host artifact', 'host artifact', 'host status', 'host', 'whitelisted hosts', 'workflow status', 'command', 'domain', 'workflow status', 'block', 'block status', 'block status', 'domain lookup results', 'summary', 'final report', 'unblocked IPs', 'blocked Ips', 'blocked host', 'unblocked host', 'address', 'blocked address', 'host', 'blocked artifact', 'blocked artifact', 'results', 'results', 'resolved incident', 'records', 'alerts', 'mimecast', 'quarantine', 'mimecast', 'quarantine asset', 'netskope results', 'mimecast retuls', 'alert overview', 'mimecast results', 'netskope results', 'quarantine asset', 'incident status', 'trigger instructions', 'artifact creation status', 'parsing status', 'details', 'update', 'report', 'issue title', 'issues', 'issues summary', 'ticket keys', 'issues', 'ticket identifier', 'updated tickets', 'ticket details', 'ticket update', 'ticket summary', 'created ticket', 'tickets title', 'top remediation artifact', 'received commands', 'ids', 'deleted artifact', 'ids', 'hostname list', 'deleted assets', 'deleted report', 'assets report', 'investigation artifact', 'artifact', 'artifact', 'reviews', 'failed artifact', 'users', 'artifact', 'failed artifact', 'success artifact', 'output', 'output', 'failure output', 'failure output', 'email variables', 'passwords', 'nos password', 'password resets', 'lookup status', 'CVE report', 'cves enrichment details', 'scan results', 'scan results', 'hash', 'hash report', 'lookup output', 'ip output', 'artifact', 'lookup artifact', 'indicator', 'artifact', 'domain', 'alert input summary', 'lookup output', 'domain lookup artifact', 'URL', 'IP lookup output', 'hash', 'URL lookup output', 'artifact', 'domain artifact', 'hash lookup output', 'domain lookup output', 'markdown time', 'epoch time', 'URL lookup output', 'IP lookup output', 'hash', 'future url lookup output', 'domain lookup output', 'hash', 'domains', 'hash', 'IP address', 'URL', 'alert information', 'IP addresses', 'hash', 'hash report', 'loop results', 'event input summary', 'URL', 'malicious URL', 'URL', 'URL', 'urlScan report', 'sources URL', 'virustotals scan results', 'command arguments', 'workflow', 'deleted emails', 'overview', 'workflow', 'email', 'slack commands', 'asset content', 'asset object', 'search term', 'output', 'output failure', 'lookup status', 'source IP', 'lookup ips', 'scan report', 'asset report', 'severity', 'severity', 'not malicious', 'incident report', 'windows results', 'MAC result', 'isolation status', 'unsuccessful isolation', 'wrongs arguments', 'lookup domains', 'hash lookup output', 'IP lookup output', 'URL lookup output', 'final report', 'final report', 'links', 'links', 'vulnerability report findings', 'vulnerabilities', 'matched vulnerabilities', 'malformed command', 'success output', 'asset reference', 'output', 'banned hashs', 'IDR alert artifact', 'csv', 'watched domains', 'watched domains', 'blocks', 'remediations', 'benign emails', 'malicious file report', 'overview note', 'file report', 'email details', 'URL report', 'file report', 'email analysis overview', 'scan report', 'remediation', 'indicator variable name', 'analysis explanation', 'malicious email', 'malicious indicator', 'files analysis', 'extracted URLs', 'URLs', 'lookup domains', 'batch details', 'failure report', 'office incident summary', 'office incident recap', 'office incident', 'office incident summary', 'office alert summary', 'current_days', 'nested headers', 'email findings', 'URLs', 'top level headers', 'subject', 'sender', 'email information', 'reply body', 'URL analysis results', 'domain', 'email body', 'file content', 'artifact', 'file hashes', 'output', 'emails', 'output', 'search name', 'query', 'output', 'output', 'purge status', 'purge output', 'investigation', 'investigation', 'investigation', 'investigation', 'investigation', 'quarantine', 'quarantined assets', 'assets', 'quarantine state', 'asset details', 'command', 'host', 'quarantined hosts', 'quarantined hosts', 'quarantined assets', 'status', 'status', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'values', 'unquarantined host', 'artifact', 'revoked user', 'parsed email', 'splitted string', 'aid status', 'host results', 'alert summary', 'SSH ip', 'incident details', 'suspicious user login', 'suspicious user incident', 'suspicious user alert', 'suspicious user login alert', 'blacklist', 'tags', 'organizational unit', 'name', 'asset', 'AD asset', 'unlock status', 'unlock status', 'arguments', 'long URL', 'short URL', 'unshortened URL', 'alert ids', 'redundant assets', 'IPS rule', 'deployed rules', 'infos', 'matching assets', 'IPS rule', 'deployed rules', 'asset', 'scan summary', 'assets', 'prompt', 'delete confirmation', 'quarantine prompt', 'reset prompt', 'related event prompt', 'event detail prompt', 'protect prompt', 'email status', 'manager name', 'blocked accounts', 'traps', 'cyberreason', 'enterprise response', 'protect', 'XDR', 'blocked Ips', 'PAN-OS', 'FW checkpoints', 'mindemeld', 'Zscaler status', 'Fortinet', 'silverline', 'user verification prompt', 'IP verdict', 'Cisco ASA', 'Ciso Secure Cloud Analytics', 'Cisco Firepower', 'Akamai WAF', 'threatx', 'Signal Sciences WAF', 'Sophos Firewall', 'blocked IPs', 'EDL/EIS', 'blocked URLs', 'Qualys Vulnerability management', 'Nexpose Vulnerability Management', 'critical Users', 'critical endpoint', 'critical groups', 'endpoint groups', 'user groups', 'critical endpoint', 'critical Users', 'critical groups', 'authenticity verdict', 'DBotScore', 'indicator extraction', 'parameters', 'isolated device', 'disabled account', 'quarantined file', 'block indicators', 'quarantined file', 'block indicators', 'disabled account', 'isolated device', 'user session', 'user sessions', 'MD5', 'SHA1', 'SHA256', 'CVE enrichment', 'vulnerabilites', 'CVE search', 'IBM X-Force exchange', 'files', 'texts', 'phising mails', 'rules', 'incidents', 'enriched indicators', 'internals', 'externals', 'email addresses', 'authenticity check', 'headers check', 'endpoint products', 'mcafees ePolicy Orchestrator', 'crowdstrikes Falcon Host', 'active directory', 'extrahops', 'persistence', 'access', 'executions', 'privilege escalation', 'defense evasion', 'disovery', 'laterals movement', 'collections', 'command and control', 'impact', 'reconnaissances', 'host activity', 'attacks network activity', 'MITRE techniques', 'file hash', 'MITRE tactics', 'indicators', 'detonations', 'file enrichment', 'huntings', 'remediations', 'false positive', 'infected endpoints', 'isolations', 'forensics', 'unisolations', 'results', 'layout', 'similar incidents', 'endpoint details', 'entity enrichment', 'user enrichment', 'AWS', 'AD', 'password reset', 'file deletion', 'process termination', 'file indicators', 'parsed file', 'file hash reputation', 'virustotal reputation', 'NSRL', 'Cortex XDR', '3rd party products', 'Vmware Carbon Black EDR', 'powershell remoting', 'commands', 'alerts', 'exception', 'NGFW alerts', 'IAM alerts', 'enriched IP addresses', 'enrichment', 'internal IP addresses', 'enrichment', 'enriched IP addresses', 'external IP addresses', 'triage', 'data review', 'evidence', 'evidence analysis', 'leak assessment', 'respond', 'remediations', 'investigation status', 'memory dump', 'device investigation', 'autorun investigation', 'processes investigation', 'network investigation', 'malware', 'triage', 'user', 'email', 'undetermined data', 'detection timer', 'remediation timer', 'enriched indicators', 'investigation', 'machine learning', 'email search', 'remediation', 'email campaign search', 'phishing type', 'phishing URL', 'incidents', 'domain quattings', 'engagement', 'inspection', 'deeper analysis', 'campaign status', 'incident layout', 'attachment infos', 'email screenshot', 'attachment information', 'forwarded email', 'phishing alerts', 'email', 'headers', 'BCL score', 'PCL score', 'SCL score', 'incident severity', 'severity calculation', 'exchange', 'exchange', 'forefront', 'forefront', 'EWS', 'O356', 'Gmail', 'phising defense', 'MD5', 'MD5', 'MD5', 'CVE', 'Rapid7 Nexpose', 'Kennav2', 'risksense', 'status', 'results', 'internal assets', 'CIDRs', 'wildcards', 'internal assets', 'qradar', 'arcsights', 'domains', 'domains', 'domains', 'comparison', 'list', 'domains', 'domains', 'domains', 'hash type', 'url screenshot', 'URL verification', 'API enrichment', 'URL', 'future datetime', 'status', 'ip addresses', 'risk', 'exception', 'request', 'readme', 'result', 'failure', 'hash result', 'usage', 'failure', 'hash result', 'hash result', 'failure', 'result', 'usage', 'failure', 'result', 'failure', 'SHA256 hash status', 'SHA256 hash', 'usage', 'result', 'blacklist status', 'hash result', 'usage', 'failure', 'indicator', 'result', 'failure', 'usage', 'failure', 'indicator', 'result', 'failure', 'account block', 'domain block', 'domain block', 'domain block', 'domain block status', 'account block status', 'alert', 'block list', 'host', 'block list status', 'block list', 'block list status', 'unblocked Ips', 'host', 'host', 'address object', 'host', 'host', 'host', 'block list status', 'host', 'block list', 'artifact', 'artifact', 'artifact', 'host', 'whitelisted hosts', 'whitelisted hosts', 'host status', 'artifact', 'host', 'host artifact', 'host artifact', 'failure', 'workflow status', 'domain', 'blocked Ips', 'blocked host', 'address', 'blocked address', 'artifact', 'artifact', 'host', 'blocked artifact', 'results', 'mimecast results', 'ticket identifier', 'details', 'update', 'report', 'issue title', 'issues', 'issues summary', 'ticket keys', 'issues', 'updated tickets', 'report', 'ticket details', 'tickets title', 'updated tickets', 'report', 'ticket keys', 'ticket details', 'ticket identifier', 'ticket summary', 'created ticket', 'tickets title', 'received commands', 'hostname list', 'report', 'final report', 'users', 'failed artifact', 'failed artifact', 'failure output', 'output', 'output', 'cves enrichment details', 'scan results', 'scan results', 'hash', 'lookup output', 'URL', 'IP lookup output', 'hash', 'URL lookup output', 'artifact', 'domain artifact', 'hash lookup output', 'domain lookup output', 'URL', 'epoch time', 'URL lookup output', 'URL lookup output', 'IP lookup output', 'hash', 'artifact', 'URL lookup output', 'IP lookup output', 'lookup output', 'ip output', 'future url lookup output', 'indicator', 'artifact', 'domain artifact', 'alert input summary', 'domain lookup output', 'lookup output', 'ip output', 'hash', 'future url lookup output', 'indicator', 'artifact', 'domain artifact', 'alert input summary', 'lookup output', 'domain lookup output', 'URL', 'domains', 'domain', 'IP address', 'domains', 'hash', 'domain', 'URL', 'alert information', 'IP addresses', 'summary', 'virustotals scan results', 'virustotals scan results', 'overview', 'email', 'slack commands', 'output failure', 'users', 'users', 'output failure', 'summary', 'incident report', 'MAC result', 'isolation status', 'unsuccessful isolation', 'hostname list', 'hash lookup output', 'IP lookup output', 'ip output', 'event input summary', 'final report', 'final report', 'final report', 'final report', 'links', 'final report', 'vulnerabilities', 'output', 'malformed command', 'overview', 'asset reference', 'success output', 'banned hashs', 'IDR alert artifact', 'watched domains', 'watched domains', 'watched domains', 'blocks', 'file report', 'remediation', 'overview note', 'URL report', 'email details', 'lookup domains', 'office incident recap', 'alert details', 'email findings', 'nested headers', 'email findings', 'URLs', 'nested headers', 'email findings', 'URLs', 'top level headers', 'email findings', 'URLs', 'top level headers', 'nested headers', 'email findings', 'URLs', 'top level headers', 'output', 'purge status', 'query', 'purge output', 'investigation', 'quarantine state', 'alert details', 'quarantined hosts', 'host', 'quarantined hosts', 'host', 'quarantined hosts', 'host', 'quarantined hosts', 'quarantined hosts', 'quarantined hosts', 'received commands', 'received commands', 'quarantine state', 'quarantine state', 'quarantine state', 'usage', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'usage', 'quarantine state', 'quarantine state', 'quarantine state', 'values', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'values', 'usage', 'unquarantined host', 'quarantined hosts', 'unquarantined host', 'quarantined assets', 'quarantined hosts', 'artifact', 'parsed email', 'revoked user', 'final report', 'final report', 'alert summary', 'summary', 'suspicious user login', 'suspicious user alert', 'suspicious user login alert', 'AD asset', 'arguments', 'status', 'users', 'long URL', 'IPS rule', 'deployed rules', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'delete confirmation', 'quarantine prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'reset prompt', 'event detail prompt', 'protect prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'prompt', 'protect', 'XDR', 'blocked Ips', 'Fortinet', 'blocked Ips', 'PAN-OS', 'FW checkpoints', 'Zscaler status', 'EDL/EIS', 'blocked URLs', 'Zscaler status', 'Nexpose Vulnerability Management', 'DBotScore', 'MD5', 'SHA256', 'CVE search', 'headers check', 'endpoint products', 'enterprise response', 'MITRE tactics', 'infected endpoints', 'detonations', 'file enrichment', 'huntings', 'remediations', 'false positive', 'endpoint details', 'file deletion', 'process termination', 'Cortex XDR', '3rd party products', 'Vmware Carbon Black EDR', 'powershell remoting', 'exception', 'enrichment', 'enriched IP addresses', 'external IP addresses', 'autorun investigation', 'network investigation', 'user', 'email', 'detection timer', 'remediation timer', 'investigation', 'authenticity check', 'machine learning', 'remediation', 'email campaign search', 'domain quattings', 'triage', 'user', 'remediations', 'email', 'undetermined data', 'detection timer', 'remediation timer', 'enriched indicators', 'investigation', 'authenticity check', 'machine learning', 'block indicators', 'remediation', 'email campaign search', 'incident layout', 'attachment infos', 'email screenshot', 'attachment information', 'email screenshot', 'incident layout', 'attachment information', 'forwarded email', 'email', 'exchange', 'EWS', 'MD5', 'MD5', 'status', 'CIDRs', 'qradar', 'qradar', 'qradar', 'comparison', 'domains', 'domains', 'status']"
show ,['Aria Packet Intelligence']
shutdown,"['server', 'system', 'system', 'system', 'server', 'system', 'system']"
sign,['JWT']
sleep,"['seconds', 'seconds', 'seconds', 'seconds', 'seconds', 'URL', 'URL']"
snooze,['incident']
sort,"['table', 'isac score', 'table', 'table', 'table', 'table', 'table', 'table']"
split,"['list', 'breaches', 'breaches', 'incoming entries', 'response', 'string', 'string', 'list', 'list', 'workflow', 'string', 'tags', 'string', 'string', 'list', 'list', 'list', 'list', 'list', 'list', 'list', 'string', 'workflow']"
start,"['workflow', 'no operations', 'conversation', 'conversation', 'RTR session', 'instance', 'instance', 'workflow', 'logging', 'clean', 'node', 'content', 'tscons', 'response', 'workflow', 'ivr session', 'cisco session', 'ftp session', 'service', 'ssh session', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'protect task', 'preprocess task', 'investigate task', 'undo containment task', 'workbook task', 'workbook', 'scan', 'workflow', 'triage', 'parse email workflow', 'workflow', 'enrichment workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'conversation', 'conversation', 'conversation', 'conversation', 'instance', 'RTR session', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'content', 'tscons', 'ivr session', 'cisco session', 'cisco session', 'cisco session', 'cisco session', 'ftp session', 'ftp session', 'ftp session', 'ftp session', 'ftp session', 'service', 'ftp session', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'undo containment task', 'workflow', 'workflow', 'preprocess task', 'investigate task', 'workflow', 'workflow', 'protect task', 'workbook', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'scan', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow']"
stop,"['instance', 'instance', 'conversation', 'destination port', 'destination subnet', 'source subnet', 'source port', 'logging', 'service', 'instance', 'logging', 'additional logging', 'instance', 'instance']"
store,"['creation report', 'update report', 'blacklist', 'blacklist', 'data', 'file hash', 'file hash', 'file hash', 'file hash', 'country keyword north korea', 'country keyword russia', 'country keyword china', 'template value', 'data', 'EML', 'results', 'results', 'cursor', 'reporter email address', 'creation report', 'update report', 'creation report', 'update report', 'creation report', 'results', 'reporter email address']"
strip,"['vulnerability description', 'HTML', 'HTML', 'HTML', 'scheme', 'vulnerability description', 'HTML', 'HTML', 'HTML', 'HTML', 'HTML', 'HTML', 'HTML', 'HTML']"
structure,['CloudTrail message']
stuck,['response']
